Formula,d2occu,Slog,S,Sclass,Ea,a,c,a/c,h,d,Vcalc,,D1eneff,D2eneff,D3eneff,,,RelPvol,RelSivol,RelD1vol,RelD2vol,RelD3vol,,Totalvol,Pestimvol,Siestimvol,D1vol,D2vol,D3vol,,,Pestimrad,Siestimrad,Pvolpermolecule,Sivolpermolecule,D1volperatom,D2volperatom,D3volperatom,D1ionicr,D2ionicr,D3ionicr,D1eff,D2eff,D3eff,Ga,Sc,Y,Yb,Cr,Al,In,Co,Cu,Zn,Mg,Mo,Nb,Sn,Hf,Ge,Ti,Zr,SiO4,Na,PO4,Fe,D1eneg,D2eneg,D3eneg
Na1.5In0.5Zr1.5(PO4)3,0.5,-4.537602002,0.000029,1,0.477,8.8283,22.6401,0.389940857,12.48510159,25.85443656,1528.13998,,1.395,0.89,1.995,,,0.993178571,0,0.003666918,0.000956672,0.00219784,,1818.355785,1805.952,0,6.667760881,1.739569592,3.996454338,,,9.072761768,0,601.984,665.842,4.445173921,3.479139185,2.664302892,1.02,0.94,0.86,1.53,0.47,1.29,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,1.5,0,1.5,3,0,0.93,1.78,1.33
Na1.5Sc0.5Zr1.5(PO4)3,0.5,-4.236572006,0.000058,1,0.425,8.8411,22.6746,0.38991206,12.50320353,25.8933888,1534.909845,,1.395,0.68,1.995,,,0.993335809,0,0.003667498,0.000798506,0.002198188,,1818.067953,1805.952,0,6.667760881,1.451737378,3.996454338,,,9.072761768,0,601.984,665.842,4.445173921,2.903474757,2.664302892,1.02,0.885,0.86,1.53,0.4425,1.29,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0,1.5,3,0,0.93,1.36,1.33
Na1.5Y0.5Zr1.5(PO4)3,0.5,-4.251811973,0.000056,1,0.378,8.8782,22.7761,0.389803346,12.55567085,26.00760661,1554.747406,,1.395,0.61,1.995,,,0.992842044,0,0.003665675,0.001295186,0.002197095,,1818.972123,1805.952,0,6.667760881,2.355907663,3.996454338,,,9.072761768,0,601.984,665.842,4.445173921,4.711815325,2.664302892,1.02,1.04,0.86,1.53,0.52,1.29,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0,1.5,3,0,0.93,1.22,1.33
Na1.5Yb0.5Zr1.5(PO4)3,0.5,-4.522878745,0.00003,1,0.425,8.8841,22.7965,0.389713333,12.56401471,26.02950015,1558.208906,,1.395,0.55,1.995,,,0.992957142,0,0.0036661,0.001179408,0.00219735,,1818.761277,1805.952,0,6.667760881,2.145061969,3.996454338,,,9.072761768,0,601.984,665.842,4.445173921,4.290123938,2.664302892,1.02,1.008,0.86,1.53,0.504,1.29,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0,1.5,3,0,0.93,1.1,1.33
Na2AlZr(PO4)3,1,-5.920818754,0.0000012,1,0.586,8.7682,22.6821,0.386569145,12.40010736,25.85034473,1510.201117,,1.86,1.61,1.33,,,0.992938787,0,0.004888043,0.000708298,0.001464873,,1818.794899,1805.952,0,8.890347842,1.288248249,2.664302892,,,9.072761768,0,601.984,665.842,4.445173921,1.288248249,2.664302892,1.02,0.675,0.86,2.04,0.675,0.86,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,3,0,0.93,1.61,1.33
Na2CrZr(PO4)3,1,-4.602059991,0.000025,1,0.409,8.7242,22.2799,0.391572673,12.33788196,25.46796567,1468.571498,,1.86,1.66,1.33,,,0.992657997,0,0.004886661,0.000990883,0.001464458,,1819.309374,1805.952,0,8.890347842,1.802723405,2.664302892,,,9.072761768,0,601.984,665.842,4.445173921,1.802723405,2.664302892,1.02,0.755,0.86,2.04,0.755,0.86,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,3,0,0.93,1.66,1.33
Na2.2In1.2Zr0.8(PO4)3,1.2,-5.580044252,0.00000263,1,0.42,8.90247,22.4943,0.395765594,12.58999381,25.77792615,1543.917722,,2.046,1.78,1.064,,,0.991171538,0,0.005367278,0.002291372,0.001169812,,1822.037792,1805.952,0,9.779382626,4.174967022,2.131442314,,,9.072761768,0,601.984,665.842,4.445173921,3.479139185,2.664302892,1.02,0.94,0.86,2.244,1.128,0.688,0,0,0,0,0,0,1.2,0,0,0,0,0,0,0,0,0,0,0.8,0,2.2,3,0,0.93,1.78,1.33
Na2.5Cr1.5Zr0.5(PO4)3,1.5,-3.744727495,0.00018,1,0.425,8.6713,21.96717,0.394739058,12.26307006,25.1582878,1430.451594,,2.325,2.49,0.665,,,0.991681313,0,0.006102316,0.001484863,0.000731509,,1821.101171,1805.952,0,11.1129348,2.704085108,1.332151446,,,9.072761768,0,601.984,665.842,4.445173921,1.802723405,2.664302892,1.02,0.755,0.86,2.55,1.1325,0.43,0,0,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,2.5,3,0,0.93,1.66,1.33
Na2.5In1.5Zr0.5(PO4)3,1.5,-4,0.0001,1,0.472,8.9083,22.40012,0.397689834,12.59823868,25.69982478,1539.467925,,2.325,2.67,0.665,,,0.990313862,0,0.006093901,0.002861737,0.0007305,,1823.615795,1805.952,0,11.1129348,5.218708777,1.332151446,,,9.072761768,0,601.984,665.842,4.445173921,3.479139185,2.664302892,1.02,0.94,0.86,2.55,1.41,0.43,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0.5,0,2.5,3,0,0.93,1.78,1.33
Na2.5Sc1.5Zr0.5(PO4)3,1.5,-3.251811973,0.00056,1,0.357,8.8991,22.4445,0.396493573,12.58522791,25.73214997,1539.33357,,2.325,2.04,0.665,,,0.990783005,0,0.006096788,0.00238936,0.000730846,,1822.752298,1805.952,0,11.1129348,4.355212135,1.332151446,,,9.072761768,0,601.984,665.842,4.445173921,2.903474757,2.664302892,1.02,0.885,0.86,2.55,1.3275,0.43,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,2.5,3,0,0.93,1.36,1.33
