Formula,d2occu,Slog,S,Sclass,Ea,a,c,a/c,h,d,Vcalc,,D1eneff,D2eneff,D3eneff,D1vol,D2vol,D3vol,,Pestimrad,Siestimrad,Pvolpermolecule,Sivolpermolecule,D1volperatom,D2volperatom,D3volperatom,D1ionicr,D2ionicr,D3ionicr,D1eff,D2eff,D3eff,Ga,Sc,Y,Yb,Cr,Al,In,Co,Cu,Zn,Mg,Mo,Nb,Sn,Hf,Ge,Ti,Zr,SiO4,Na,PO4,Fe,D1eneg,D2eneg,D3eneg
Na2.5Sc0.2Zr1.8(SiO4)1.3(PO4)1.7,0.2,-3.496209317,0.000319,1,0.3,8.99,22.878,0.39295393,12.71377993,26.17332772,1601.282918,,2.325,0.272,2.394,11.1129348,0.580694951,4.795745206,,4.4523,3.5217,75.247,83.275,4.445173921,2.903474757,2.664302892,1.02,0.885,0.86,2.55,0.177,1.548,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8,1.3,2.5,1.7,0,0.93,1.36,1.33
Na3Sc1.5Zr0.5(SiO4)0.5(PO4)2.5,1.5,-3.931814138,0.000117,1,0.33,8.937,22.447,0.398137836,12.63882661,25.76058514,1552.646019,,2.79,2.04,0.665,13.33552176,4.355212135,1.332151446,,6.5475,1.3545,75.247,83.275,4.445173921,2.903474757,2.664302892,1.02,0.885,0.86,3.06,1.3275,0.43,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,3,2.5,0,0.93,1.36,1.33
Na3ScZr(SiO4)2(PO4),1,-3.739928612,0.000182,1,0.31,8.985,22.612,0.397355387,12.70670886,25.93767518,1580.904994,,2.79,1.36,1.33,13.33552176,2.903474757,2.664302892,,2.619,5.418,75.247,83.275,4.445173921,2.903474757,2.664302892,1.02,0.885,0.86,3.06,0.885,0.86,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,1,0,0.93,1.36,1.33
Na3Sc0.8Zr1.2(SiO4)1.2(PO4)1.8,0.8,-3.847711656,0.000142,1,0.32,8.999,22.717,0.396135053,12.72650785,26.03893414,1593.199324,,2.79,1.088,1.596,13.33552176,2.322779805,3.19716347,,4.698,3.2508,75.247,83.275,4.445173921,2.903474757,2.664302892,1.02,0.885,0.86,3.06,0.708,1.032,0,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2,1.2,3,1.8,0,0.93,1.36,1.33
Na3.5Sc0.5Zr1.5(SiO4)2(PO4),0.5,-3.311580178,0.000488,1,0.32,9.095,22.548,0.403361717,12.86227235,25.95862774,1615.266048,,3.255,0.68,1.995,15.55810872,1.451737378,3.996454338,,2.619,5.418,75.247,83.275,4.445173921,2.903474757,2.664302892,1.02,0.885,0.86,3.57,0.4425,1.29,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,2,3.5,1,0,0.93,1.36,1.33
Na2.7Sc0.2Zr1.8(SiO4)1.5(PO4)1.5,0.2,-4.05207638,0.0000887,1,0.4,9.021,22.651,0.398260562,12.75762055,25.9966283,1596.347283,,2.511,0.272,2.394,12.00196959,0.580694951,4.795745206,,3.9285,4.0635,75.247,83.275,4.445173921,2.903474757,2.664302892,1.02,0.885,0.86,2.754,0.177,1.548,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8,1.5,2.7,1.5,0,0.93,1.36,1.33
Na1.25Sn0.25Ge1.75(PO4)3,0.25,-5.15490196,7.00E-06,1,0.61,8.142,21.602,0.376909545,11.51452682,24.47918977,1240.1859,,1.116,0.49,3.5175,5.334208705,0.34401353,2.204706077,,7.85724,0,75.247,83.275,4.445173921,1.376054119,1.259832044,1.02,0.69,0.67,1.224,0.1725,1.1725,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,1.75,0,0,0,1.2,3,0,0.93,1.96,2.01
Na1.5Sn0.5Ge1.5(PO4)3,0.5,-4.076238039,8.39E-05,1,0.52,8.221,21.772,0.377595076,11.6262497,24.68176789,1274.31928,,1.395,0.98,3.015,6.667760881,0.68802706,1.889748066,,7.85724,0,75.247,83.275,4.445173921,1.376054119,1.259832044,1.02,0.69,0.67,1.53,0.345,1.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,1.5,0,0,0,1.5,3,0,0.93,1.96,2.01
Na1.75Sn0.75Ge1.25(PO4)3,0.75,-4.920818754,1.20E-05,1,0.58,8.151,21.612,0.377151582,11.52725475,24.49400225,1243.504545,,1.6275,1.47,2.5125,7.779054362,1.032040589,1.574790055,,7.85724,0,75.247,83.275,4.445173921,1.376054119,1.259832044,1.02,0.69,0.67,1.785,0.5175,0.8375,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75,0,1.25,0,0,0,1.75,3,0,0.93,1.96,2.01
Na1.3Al0.3Zr1.7(PO4)3 ,0.3,-4.920818754,6.30E-05,1,0.48,8.762,22.7779,0.384671107,12.39133923,25.93025292,1514.435604,,1.209,0.483,2.261,5.778726097,0.386474475,4.529314916,,7.85724,0,75.247,83.275,4.445173921,1.288248249,2.664302892,1.02,0.675,0.86,1.326,0.2025,1.462,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,1.7,0,1.3,3,0,0.93,1.61,1.33
Na1.3Al0.3Ti1.7(PO4)3 ,0.3,-4.920818754,1.40E-05,1,0.53,8.4614,21.7911,0.388296139,11.96622664,24.86046297,1351.12098,,1.209,0.483,2.618,5.778726097,0.386474475,2.944462191,,7.85724,0,75.247,83.275,4.445173921,1.288248249,1.732036583,1.02,0.675,0.745,1.326,0.2025,1.2665,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,1.7,0,0,1.3,3,0,0.93,1.61,1.54
